Name,Sector,Entry,EntryRaw,Close,MktCap_KRW_T,EV,Prob,RR,Score,VolRatio,RSI,ATR%,ADX,RS_vs_KOSPI or KOSDAQ,PctOff52H,Trigger,EntryHint,Invalidation,Reasons,MACDTrigger,Note,EntryPrice,StopPrice,TargetPrice,Shares,PosValue,Avg$Vol,Ticker,P,Promoted
제일기획,Communication Services,WATCH_PULLBACK,WATCH_PULLBACK,21950.0,22231.0,1.02,0.67,2.01,15,0.73,68.0,2.33,19.4,종목 3.5% vs KOSPI 22.8%,5.8,약한 반등(가짜 반등 필터),강한 양봉 확인 후,SMA50(21589.00) 이탈 또는 Stop 20928.57,RSI 68,,RSI 68.0,21950.0,20928.57,23999.0,594.0,13038300.0,10180303545,030000.KS,4,False
삼성화재,Financial Services,WATCH_PULLBACK,WATCH_PULLBACK,530000.0,225300.0,1.44,0.82,1.98,29,1.65,52.7,6.45,44.9,종목 5.6% vs KOSPI 22.8%,18.0,약한 반등(가짜 반등 필터),강한 양봉 확인 후,SMA50(506980.00) 이탈 또는 Stop 461642.86,"Vol 1.6x, RSI 53",,RSI 52.7,530000.0,461642.86,665380.0,8.0,4240000.0,75462329575,000810.KS,4,False
LG화학,Basic Materials,WATCH_RS,BUY_BREAKOUT,417500.0,326799.0,1.4,0.81,1.96,26,2.35,81.0,4.24,27.1,종목 21.4% vs KOSPI 22.8%,2.6,20D High 401500.00 돌파 + Vol 2.35x (기준 1.5x),417500.00 위에서 분할(돌파 유지 시),SMA50(337710.00) 이탈 또는 Stop 382071.43,"Vol 2.4x (강함), MACD 완만개선",,종가확인/윗꼬리/갭 통과 → 진짜 돌파 진입 | 시장대비 약함(RS 20일: 종목 21.4% vs KOSPI 22.8%),417500.0,382071.43,486967.86,17.0,7097500.0,168324010875,051910.KS,4,False
롯데칠성,Consumer Defensive,WATCH_PULLBACK,WATCH_PULLBACK,139100.0,13985.0,1.12,0.72,1.96,15,0.58,51.8,3.72,61.6,종목 6.1% vs KOSPI 22.8%,10.1,약한 반등(가짜 반등 필터),강한 양봉 확인 후,SMA50(134550.00) 이탈 또는 Stop 128742.86,RSI 52,,RSI 51.8,139100.0,128742.86,159444.0,58.0,8067800.0,5200923380,005300.KS,4,False
iM금융지주,Financial Services,WATCH_PULLBACK,WATCH_PULLBACK,18390.0,29555.0,1.25,0.76,1.95,23,1.4,59.5,5.96,87.3,종목 23.2% vs KOSPI 22.8%,16.4,약한 반등(가짜 반등 필터),강한 양봉 확인 후,SMA50(16166.20) 이탈 또는 Stop 16198.57,"Vol 1.4x (약), RSI 60",,RSI 59.5,18390.0,16198.57,22660.0,277.0,5094030.0,17785417127,139130.KS,4,False
이마트,Consumer Defensive,WATCH_PULLBACK,WATCH_PULLBACK,105000.0,28128.0,0.91,0.66,1.9,15,0.42,58.3,8.9,70.3,종목 18.1% vs KOSPI 22.8%,23.0,약한 반등(가짜 반등 필터),강한 양봉 확인 후,SMA50(92562.00) 이탈 또는 Stop 86300.00,RSI 58,,RSI 58.3,105000.0,86300.0,140492.0,32.0,3360000.0,75573946640,139480.KS,4,False
우리금융지주,Financial Services,SKIP,SKIP,36000.0,263158.0,-0.14,0.86,,28,2.53,63.9,5.14,69.5,,13.3,진입 타이밍 불명확,-,Stop 32300.00,"Vol 2.5x (강함), RSI 64",,대기,,,,,,109722134815,316140.KS,9,False
한국가스공사,Utilities,SKIP,SKIP,41200.0,35957.0,-0.12,0.88,,28,2.44,50.6,3.52,29.3,,16.5,진입 타이밍 불명확,-,Stop 38300.00,"Vol 2.4x (강함), RSI 51",,대기,,,,,,19693737267,036460.KS,9,False
SK이노베이션,Energy,SKIP,SKIP,127700.0,213401.0,-0.17,0.83,,24,1.66,64.2,4.25,38.6,,8.9,진입 타이밍 불명확,-,Stop 116857.14,"Vol 1.7x, RSI 64",,대기,,,,,,82067786450,096770.KS,9,False
S-Oil,Energy,SKIP,SKIP,110000.0,128063.0,-0.19,0.81,,24,1.51,62.7,4.5,34.2,,8.3,진입 타이밍 불명확,-,Stop 100100.00,"Vol 1.5x, RSI 63",,대기,,,,,,36916464905,010950.KS,9,False
